freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.512e+02,7.183e+00,4.761e+01,3.059e+02
1.6,1.604e+02,2.240e+01,7.376e+01,2.565e+02
3.2,4.634e+01,2.171e+01,6.345e+01,1.315e+02
4.8,5.067e+02,2.480e+01,6.549e+01,5.970e+02
6.4,1.467e+03,2.871e+01,6.781e+01,1.563e+03
8.0,2.385e+03,4.824e+01,7.325e+01,2.506e+03
9.6,3.610e+03,5.824e+01,7.555e+01,3.743e+03
11.2,5.305e+03,3.446e+01,6.989e+01,5.409e+03
12.8,7.387e+03,3.062e+01,6.166e+01,7.479e+03
14.4,9.108e+03,4.381e+01,7.579e+01,9.228e+03
16.0,1.015e+04,5.526e+01,9.089e+01,1.029e+04
17.6,1.312e+04,3.590e+01,7.930e+01,1.324e+04
19.2,1.706e+04,3.706e+01,6.362e+01,1.716e+04
20.8,2.147e+04,4.736e+01,6.616e+01,2.159e+04
22.4,2.675e+04,7.705e+01,7.127e+01,2.690e+04
24.0,3.377e+04,1.223e+02,9.827e+01,3.399e+04
25.6,4.297e+04,1.372e+02,1.729e+02,4.328e+04
27.2,5.749e+04,1.176e+02,2.979e+02,5.790e+04
28.8,7.769e+04,8.940e+01,9.047e+02,7.869e+04
30.4,1.098e+05,1.005e+02,3.918e+03,1.138e+05
32.0,1.122e+05,1.500e+02,1.113e+04,1.234e+05
33.6,9.380e+04,2.914e+02,1.737e+04,1.115e+05
35.2,1.257e+05,4.323e+02,2.802e+04,1.542e+05
36.8,2.121e+05,1.195e+03,4.938e+04,2.627e+05
38.4,3.584e+05,2.257e+03,8.742e+04,4.481e+05
40.0,3.938e+05,2.205e+03,9.308e+04,4.891e+05
41.6,2.837e+05,2.259e+03,6.446e+04,3.504e+05
43.2,1.706e+05,2.833e+03,4.114e+04,2.145e+05
44.8,1.143e+05,2.649e+03,2.806e+04,1.450e+05
46.4,1.221e+05,1.515e+03,2.812e+04,1.518e+05
48.0,1.917e+05,6.810e+02,4.649e+04,2.389e+05
49.6,3.292e+05,1.926e+03,6.922e+04,4.004e+05
51.2,4.191e+05,5.462e+03,5.234e+04,4.769e+05
52.8,3.717e+05,7.086e+03,2.805e+04,4.068e+05
54.4,2.838e+05,6.891e+03,1.350e+04,3.042e+05
56.0,2.053e+05,6.269e+03,6.438e+03,2.180e+05
57.6,1.611e+05,5.316e+03,4.667e+03,1.711e+05
59.2,1.686e+05,4.598e+03,7.419e+03,1.807e+05
60.8,1.427e+05,4.158e+03,8.219e+03,1.550e+05
62.4,1.112e+05,3.475e+03,8.160e+03,1.228e+05
64.0,9.059e+04,3.455e+03,9.205e+03,1.033e+05
65.6,7.668e+04,3.831e+03,9.563e+03,9.007e+04
67.2,6.651e+04,3.408e+03,8.193e+03,7.811e+04
68.8,5.914e+04,2.156e+03,7.198e+03,6.850e+04
70.4,5.084e+04,1.166e+03,7.581e+03,5.959e+04
72.0,4.116e+04,8.282e+02,8.565e+03,5.055e+04
73.7,3.162e+04,7.498e+02,9.434e+03,4.180e+04
75.3,2.490e+04,7.831e+02,1.075e+04,3.644e+04
76.9,2.106e+04,8.764e+02,1.289e+04,3.483e+04
78.5,1.785e+04,9.697e+02,1.499e+04,3.381e+04
80.1,1.600e+04,1.018e+03,1.695e+04,3.397e+04
81.7,1.530e+04,9.982e+02,1.902e+04,3.532e+04
83.3,1.530e+04,9.333e+02,2.115e+04,3.738e+04
84.9,1.582e+04,7.935e+02,2.173e+04,3.834e+04
86.5,1.610e+04,5.606e+02,1.999e+04,3.665e+04
88.1,1.579e+04,3.374e+02,1.693e+04,3.306e+04
89.7,1.471e+04,1.924e+02,1.475e+04,2.966e+04
91.3,1.348e+04,1.084e+02,1.371e+04,2.730e+04
92.9,1.199e+04,5.998e+01,1.367e+04,2.572e+04
94.5,1.056e+04,6.025e+01,1.475e+04,2.537e+04
96.1,9.429e+03,9.130e+01,1.616e+04,2.568e+04
97.7,8.627e+03,1.698e+02,1.656e+04,2.535e+04
99.3,7.863e+03,2.821e+02,1.625e+04,2.440e+04
100.9,7.000e+03,4.301e+02,1.671e+04,2.414e+04
102.5,6.396e+03,5.823e+02,1.711e+04,2.409e+04
104.1,6.122e+03,6.444e+02,1.627e+04,2.303e+04
105.7,5.795e+03,5.870e+02,1.468e+04,2.106e+04
