freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.143e+01,1.792e+02,1.024e+02,2.931e+02
1.5,2.339e+01,1.161e+02,9.833e+01,2.378e+02
3.0,2.091e+01,2.963e+01,5.868e+01,1.092e+02
4.6,2.127e+01,3.239e+02,5.820e+01,4.033e+02
6.1,2.199e+01,1.292e+03,5.221e+01,1.367e+03
7.6,2.394e+01,2.343e+03,5.659e+01,2.423e+03
9.1,2.511e+01,3.274e+03,6.288e+01,3.362e+03
10.6,2.488e+01,4.719e+03,6.179e+01,4.805e+03
12.2,2.619e+01,5.994e+03,6.714e+01,6.088e+03
13.7,2.892e+01,7.533e+03,6.690e+01,7.629e+03
15.2,3.104e+01,9.882e+03,7.164e+01,9.985e+03
16.7,2.814e+01,1.317e+04,8.146e+01,1.328e+04
18.3,2.869e+01,1.767e+04,1.542e+02,1.785e+04
19.8,2.484e+01,2.412e+04,3.138e+02,2.446e+04
21.3,2.330e+01,3.415e+04,6.082e+02,3.478e+04
22.8,2.638e+01,5.109e+04,1.716e+03,5.283e+04
24.3,4.028e+01,8.566e+04,6.470e+03,9.217e+04
25.9,9.544e+01,1.471e+05,1.808e+04,1.652e+05
27.4,2.154e+02,1.952e+05,3.464e+04,2.301e+05
28.9,3.345e+02,1.528e+05,3.976e+04,1.929e+05
30.4,7.319e+02,1.027e+05,3.864e+04,1.420e+05
31.9,2.686e+03,1.008e+05,5.178e+04,1.552e+05
33.5,6.729e+03,9.986e+04,4.584e+04,1.524e+05
35.0,7.825e+03,1.162e+05,3.385e+04,1.579e+05
36.5,6.154e+03,1.209e+05,4.994e+04,1.770e+05
38.0,6.239e+03,1.015e+05,7.158e+04,1.794e+05
39.5,6.302e+03,7.451e+04,9.379e+04,1.746e+05
41.1,6.007e+03,4.798e+04,1.235e+05,1.775e+05
42.6,5.699e+03,3.348e+04,1.531e+05,1.922e+05
44.1,7.242e+03,3.363e+04,1.933e+05,2.342e+05
45.6,1.134e+04,3.512e+04,2.400e+05,2.865e+05
47.1,1.258e+04,3.588e+04,2.115e+05,2.599e+05
48.7,1.039e+04,3.394e+04,1.392e+05,1.836e+05
50.2,7.797e+03,2.805e+04,7.919e+04,1.150e+05
51.7,6.333e+03,2.181e+04,4.381e+04,7.195e+04
53.2,5.559e+03,1.614e+04,2.303e+04,4.473e+04
54.8,6.503e+03,1.283e+04,1.246e+04,3.180e+04
56.3,1.218e+04,1.215e+04,9.299e+03,3.362e+04
57.8,2.275e+04,1.235e+04,1.731e+04,5.241e+04
59.3,1.989e+04,1.254e+04,2.845e+04,6.087e+04
60.8,1.200e+04,1.199e+04,3.155e+04,5.553e+04
62.4,8.057e+03,1.172e+04,3.820e+04,5.798e+04
63.9,6.905e+03,1.197e+04,4.210e+04,6.097e+04
65.4,5.596e+03,1.191e+04,3.805e+04,5.555e+04
66.9,2.740e+03,1.139e+04,3.193e+04,4.606e+04
68.4,1.090e+03,1.034e+04,2.580e+04,3.724e+04
70.0,6.726e+02,8.877e+03,2.013e+04,2.968e+04
71.5,5.303e+02,7.385e+03,1.560e+04,2.352e+04
73.0,3.478e+02,5.835e+03,1.195e+04,1.814e+04
74.5,2.328e+02,4.483e+03,9.364e+03,1.408e+04
76.0,1.570e+02,3.646e+03,7.909e+03,1.171e+04
77.6,1.216e+02,2.973e+03,6.826e+03,9.920e+03
79.1,1.073e+02,2.574e+03,6.040e+03,8.721e+03
80.6,7.973e+01,2.622e+03,5.821e+03,8.523e+03
82.1,6.985e+01,3.420e+03,6.094e+03,9.584e+03
83.6,8.033e+01,3.847e+03,5.970e+03,9.898e+03
85.2,7.808e+01,3.566e+03,5.843e+03,9.487e+03
86.7,7.658e+01,3.269e+03,5.734e+03,9.080e+03
88.2,7.411e+01,2.973e+03,5.429e+03,8.476e+03
89.7,7.190e+01,2.699e+03,4.954e+03,7.725e+03
