freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.444e+02,6.493e+00,2.742e+01,2.783e+02
1.6,1.544e+02,2.280e+01,5.782e+01,2.350e+02
3.1,3.848e+01,2.568e+01,5.939e+01,1.235e+02
4.7,3.847e+02,2.549e+01,5.736e+01,4.675e+02
6.2,1.299e+03,2.348e+01,5.911e+01,1.382e+03
7.8,2.123e+03,2.537e+01,5.714e+01,2.205e+03
9.4,2.991e+03,2.556e+01,5.556e+01,3.072e+03
10.9,4.022e+03,2.499e+01,5.768e+01,4.105e+03
12.5,5.229e+03,2.430e+01,5.898e+01,5.312e+03
14.0,6.656e+03,2.531e+01,5.919e+01,6.740e+03
15.6,8.308e+03,2.825e+01,6.268e+01,8.399e+03
17.2,1.011e+04,3.291e+01,6.328e+01,1.021e+04
18.7,1.256e+04,3.078e+01,6.104e+01,1.265e+04
20.3,1.592e+04,3.066e+01,6.951e+01,1.602e+04
21.9,1.920e+04,3.158e+01,8.012e+01,1.931e+04
23.4,2.312e+04,3.313e+01,1.219e+02,2.328e+04
25.0,2.775e+04,3.758e+01,1.814e+02,2.797e+04
26.5,3.388e+04,4.476e+01,2.761e+02,3.420e+04
28.1,4.069e+04,5.579e+01,4.659e+02,4.122e+04
29.7,5.016e+04,7.312e+01,8.384e+02,5.107e+04
31.2,6.571e+04,1.110e+02,1.767e+03,6.759e+04
32.8,8.230e+04,1.922e+02,3.961e+03,8.645e+04
34.3,9.690e+04,3.711e+02,9.709e+03,1.070e+05
35.9,1.120e+05,8.822e+02,2.523e+04,1.381e+05
37.5,1.163e+05,1.495e+03,4.342e+04,1.612e+05
39.0,1.213e+05,1.948e+03,4.323e+04,1.665e+05
40.6,1.197e+05,2.418e+03,3.375e+04,1.559e+05
42.1,1.103e+05,2.876e+03,2.988e+04,1.430e+05
43.7,1.156e+05,3.401e+03,2.931e+04,1.483e+05
45.3,1.064e+05,3.885e+03,2.637e+04,1.367e+05
46.8,1.133e+05,3.939e+03,2.470e+04,1.419e+05
48.4,1.586e+05,3.580e+03,2.389e+04,1.861e+05
50.0,2.024e+05,2.911e+03,1.992e+04,2.253e+05
51.5,2.382e+05,1.918e+03,1.382e+04,2.539e+05
53.1,2.694e+05,1.275e+03,1.025e+04,2.809e+05
54.6,3.512e+05,7.755e+02,8.585e+03,3.605e+05
56.2,4.680e+05,1.232e+03,1.157e+04,4.807e+05
57.8,4.955e+05,2.511e+03,1.733e+04,5.153e+05
59.3,4.675e+05,3.222e+03,2.086e+04,4.916e+05
60.9,4.299e+05,3.423e+03,2.109e+04,4.545e+05
62.4,3.578e+05,3.048e+03,1.737e+04,3.782e+05
64.0,3.166e+05,2.711e+03,1.466e+04,3.340e+05
65.6,2.823e+05,2.416e+03,1.207e+04,2.968e+05
67.1,2.319e+05,2.047e+03,8.890e+03,2.428e+05
68.7,1.904e+05,1.723e+03,5.945e+03,1.981e+05
70.2,1.506e+05,1.465e+03,3.580e+03,1.557e+05
71.8,1.285e+05,1.244e+03,1.896e+03,1.316e+05
73.4,1.054e+05,8.524e+02,1.102e+03,1.073e+05
74.9,8.811e+04,5.263e+02,9.214e+02,8.956e+04
76.5,8.042e+04,3.241e+02,1.332e+03,8.207e+04
78.0,7.301e+04,2.608e+02,2.467e+03,7.574e+04
79.6,6.899e+04,4.615e+02,5.082e+03,7.453e+04
81.2,7.334e+04,8.460e+02,7.998e+03,8.218e+04
82.7,8.130e+04,9.666e+02,8.411e+03,9.067e+04
84.3,9.008e+04,1.155e+03,8.409e+03,9.965e+04
85.9,1.001e+05,1.839e+03,1.064e+04,1.126e+05
87.4,1.097e+05,2.929e+03,1.441e+04,1.271e+05
89.0,1.178e+05,3.701e+03,1.639e+04,1.379e+05
90.5,1.228e+05,3.583e+03,1.542e+04,1.418e+05
92.1,1.216e+05,2.973e+03,1.256e+04,1.371e+05
93.7,1.181e+05,2.756e+03,1.057e+04,1.314e+05
95.2,1.150e+05,2.845e+03,9.596e+03,1.275e+05
96.8,1.118e+05,3.051e+03,8.982e+03,1.238e+05
98.3,1.108e+05,3.254e+03,8.770e+03,1.228e+05
99.9,1.060e+05,3.214e+03,7.885e+03,1.170e+05
101.5,9.198e+04,2.888e+03,6.537e+03,1.014e+05
103.0,7.666e+04,2.505e+03,5.212e+03,8.437e+04
104.6,6.235e+04,2.036e+03,3.872e+03,6.826e+04
106.1,5.188e+04,1.737e+03,3.093e+03,5.671e+04
107.7,4.048e+04,1.377e+03,2.425e+03,4.428e+04
109.3,2.789e+04,8.242e+02,1.579e+03,3.029e+04
110.8,2.444e+04,5.531e+02,1.242e+03,2.624e+04
112.4,2.495e+04,4.730e+02,9.918e+02,2.641e+04
114.0,2.496e+04,5.301e+02,8.537e+02,2.634e+04
115.5,2.535e+04,6.506e+02,8.498e+02,2.685e+04
117.1,2.593e+04,7.686e+02,8.680e+02,2.757e+04
118.6,2.549e+04,9.046e+02,9.367e+02,2.733e+04
120.2,2.346e+04,1.168e+03,1.091e+03,2.572e+04
121.8,2.157e+04,1.596e+03,1.417e+03,2.458e+04
123.3,2.481e+04,2.185e+03,1.843e+03,2.883e+04
124.9,2.971e+04,2.932e+03,2.216e+03,3.485e+04
126.4,3.262e+04,3.606e+03,2.538e+03,3.877e+04
128.0,3.249e+04,4.013e+03,2.711e+03,3.922e+04
129.6,3.384e+04,4.734e+03,2.937e+03,4.151e+04
131.1,3.011e+04,4.504e+03,2.720e+03,3.733e+04
132.7,1.878e+04,2.859e+03,1.669e+03,2.331e+04
134.2,5.721e+03,1.863e+03,6.640e+02,8.248e+03
135.8,3.961e+03,2.296e+03,6.160e+02,6.873e+03
137.4,4.265e+03,2.708e+03,6.316e+02,7.605e+03
138.9,4.326e+03,3.052e+03,6.771e+02,8.055e+03
140.5,3.830e+03,3.962e+03,7.567e+02,8.548e+03
142.0,3.504e+03,4.724e+03,7.998e+02,9.027e+03
143.6,3.071e+03,4.944e+03,8.166e+02,8.831e+03
145.2,2.480e+03,4.353e+03,6.739e+02,7.507e+03
146.7,1.978e+03,3.451e+03,4.939e+02,5.923e+03
148.3,1.569e+03,2.890e+03,3.596e+02,4.819e+03
149.9,1.375e+03,2.619e+03,2.935e+02,4.288e+03
151.4,1.654e+03,2.056e+03,2.155e+02,3.925e+03
153.0,1.927e+03,1.784e+03,1.617e+02,3.873e+03
154.5,2.242e+03,1.775e+03,1.719e+02,4.189e+03
156.1,2.833e+03,1.856e+03,1.891e+02,4.879e+03
157.7,4.371e+03,2.143e+03,2.406e+02,6.755e+03
159.2,6.401e+03,2.608e+03,3.452e+02,9.354e+03
160.8,8.481e+03,2.974e+03,3.985e+02,1.185e+04
162.3,9.447e+03,2.497e+03,3.292e+02,1.227e+04
163.9,1.001e+04,2.032e+03,2.743e+02,1.231e+04
165.5,1.037e+04,1.677e+03,2.657e+02,1.232e+04
167.0,1.055e+04,1.410e+03,2.556e+02,1.221e+04
168.6,1.103e+04,1.266e+03,2.127e+02,1.251e+04
170.1,1.191e+04,1.055e+03,1.718e+02,1.314e+04
171.7,1.193e+04,8.580e+02,1.550e+02,1.294e+04
