freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.455e+01,2.576e+02,3.513e+01,3.072e+02
1.6,2.411e+01,1.565e+02,6.287e+01,2.435e+02
3.1,1.958e+01,3.190e+01,5.655e+01,1.080e+02
4.7,1.934e+01,4.035e+02,6.338e+01,4.862e+02
6.2,2.036e+01,1.366e+03,6.420e+01,1.450e+03
7.8,2.133e+01,2.218e+03,6.175e+01,2.301e+03
9.4,2.278e+01,3.278e+03,6.412e+01,3.365e+03
10.9,2.132e+01,5.014e+03,7.838e+01,5.113e+03
12.5,1.989e+01,7.470e+03,1.002e+02,7.590e+03
14.0,2.019e+01,9.994e+03,1.240e+02,1.014e+04
15.6,2.056e+01,1.238e+04,1.467e+02,1.255e+04
17.2,2.309e+01,1.628e+04,1.973e+02,1.650e+04
18.7,2.181e+01,2.097e+04,2.750e+02,2.126e+04
20.3,2.594e+01,2.704e+04,4.139e+02,2.748e+04
21.8,3.600e+01,3.462e+04,6.323e+02,3.529e+04
23.4,4.654e+01,4.455e+04,9.802e+02,4.558e+04
25.0,6.609e+01,5.656e+04,1.436e+03,5.806e+04
26.5,1.082e+02,7.278e+04,2.035e+03,7.492e+04
28.1,1.867e+02,9.254e+04,2.712e+03,9.544e+04
29.6,3.067e+02,1.213e+05,3.821e+03,1.255e+05
31.2,4.275e+02,1.796e+05,6.400e+03,1.864e+05
32.8,8.196e+02,2.635e+05,1.191e+04,2.763e+05
34.3,1.516e+03,3.304e+05,1.829e+04,3.502e+05
35.9,2.470e+03,3.828e+05,2.455e+04,4.098e+05
37.4,3.509e+03,3.864e+05,2.961e+04,4.195e+05
39.0,4.363e+03,3.266e+05,3.199e+04,3.629e+05
40.6,4.992e+03,2.123e+05,3.083e+04,2.481e+05
42.1,4.799e+03,1.291e+05,2.995e+04,1.638e+05
43.7,4.152e+03,9.489e+04,3.382e+04,1.329e+05
45.2,7.298e+03,6.067e+04,2.988e+04,9.785e+04
46.8,8.929e+03,2.651e+04,2.035e+04,5.579e+04
48.4,9.430e+03,1.277e+04,1.904e+04,4.124e+04
49.9,1.181e+04,1.021e+04,2.231e+04,4.434e+04
51.5,1.303e+04,9.132e+03,2.399e+04,4.615e+04
53.0,9.439e+03,1.031e+04,1.584e+04,3.559e+04
54.6,7.915e+03,1.344e+04,8.545e+03,2.990e+04
56.2,1.434e+04,1.261e+04,1.273e+04,3.968e+04
57.7,1.639e+04,1.546e+04,1.505e+04,4.689e+04
59.3,1.450e+04,2.106e+04,1.234e+04,4.791e+04
60.8,1.085e+04,2.092e+04,7.539e+03,3.931e+04
62.4,9.121e+03,1.948e+04,5.952e+03,3.455e+04
64.0,9.870e+03,1.785e+04,6.515e+03,3.424e+04
65.5,9.743e+03,1.633e+04,6.252e+03,3.233e+04
67.1,9.687e+03,1.504e+04,6.307e+03,3.103e+04
68.6,9.591e+03,1.331e+04,6.880e+03,2.978e+04
70.2,9.722e+03,1.182e+04,8.152e+03,2.970e+04
71.8,9.612e+03,1.065e+04,8.780e+03,2.904e+04
73.3,9.276e+03,9.447e+03,8.751e+03,2.747e+04
74.9,9.134e+03,9.163e+03,8.300e+03,2.660e+04
76.4,9.378e+03,9.369e+03,7.768e+03,2.652e+04
78.0,9.476e+03,8.822e+03,7.308e+03,2.561e+04
79.5,9.394e+03,8.549e+03,7.044e+03,2.499e+04
81.1,9.541e+03,8.839e+03,7.525e+03,2.590e+04
82.7,1.001e+04,9.308e+03,8.737e+03,2.806e+04
84.2,1.086e+04,9.448e+03,1.093e+04,3.125e+04
85.8,1.183e+04,9.032e+03,1.377e+04,3.464e+04
87.3,1.312e+04,8.407e+03,1.731e+04,3.884e+04
88.9,1.531e+04,8.013e+03,2.271e+04,4.603e+04
90.5,1.936e+04,8.165e+03,3.143e+04,5.896e+04
92.0,1.990e+04,6.690e+03,3.327e+04,5.985e+04
93.6,1.776e+04,4.307e+03,3.107e+04,5.314e+04
95.1,1.750e+04,2.799e+03,3.428e+04,5.458e+04
96.7,1.876e+04,1.968e+03,4.372e+04,6.445e+04
98.3,1.915e+04,1.569e+03,5.461e+04,7.533e+04
99.8,1.785e+04,1.499e+03,6.016e+04,7.951e+04
101.4,1.551e+04,1.534e+03,5.415e+04,7.119e+04
102.9,1.163e+04,1.333e+03,3.855e+04,5.151e+04
104.5,8.669e+03,1.171e+03,2.610e+04,3.594e+04
106.1,6.818e+03,1.124e+03,1.850e+04,2.644e+04
107.6,5.723e+03,1.192e+03,1.390e+04,2.082e+04
109.2,5.275e+03,1.378e+03,1.102e+04,1.768e+04
110.7,4.925e+03,1.599e+03,9.008e+03,1.553e+04
112.3,4.677e+03,1.813e+03,7.510e+03,1.400e+04
113.9,4.374e+03,1.953e+03,6.322e+03,1.265e+04
115.4,3.823e+03,1.986e+03,5.558e+03,1.137e+04
117.0,3.355e+03,1.914e+03,5.048e+03,1.032e+04
118.5,2.903e+03,1.749e+03,4.591e+03,9.243e+03
120.1,2.388e+03,1.575e+03,3.990e+03,7.954e+03
121.7,1.890e+03,1.350e+03,3.039e+03,6.279e+03
123.2,1.795e+03,1.211e+03,2.343e+03,5.348e+03
124.8,1.882e+03,1.244e+03,2.114e+03,5.241e+03
126.3,1.993e+03,1.460e+03,2.189e+03,5.643e+03
127.9,2.098e+03,1.707e+03,2.366e+03,6.171e+03
129.5,2.101e+03,1.892e+03,2.452e+03,6.446e+03
131.0,2.091e+03,2.018e+03,2.593e+03,6.703e+03
132.6,1.557e+03,1.727e+03,2.525e+03,5.809e+03
134.1,3.958e+02,8.293e+02,1.826e+03,3.052e+03
135.7,1.797e+02,6.192e+02,2.081e+03,2.880e+03
137.3,2.308e+02,5.805e+02,2.399e+03,3.210e+03
138.8,4.208e+02,5.407e+02,2.531e+03,3.492e+03
140.4,6.187e+02,5.522e+02,2.012e+03,3.183e+03
141.9,6.937e+02,5.462e+02,1.513e+03,2.753e+03
143.5,6.725e+02,5.697e+02,1.458e+03,2.700e+03
145.1,6.359e+02,5.499e+02,1.460e+03,2.646e+03
146.6,5.912e+02,4.903e+02,1.325e+03,2.407e+03
148.2,5.434e+02,4.424e+02,1.091e+03,2.076e+03
149.7,4.627e+02,4.092e+02,1.071e+03,1.943e+03
151.3,3.826e+02,3.965e+02,1.203e+03,1.982e+03
152.9,3.039e+02,3.907e+02,1.517e+03,2.212e+03
154.4,2.283e+02,4.054e+02,1.924e+03,2.557e+03
156.0,1.747e+02,4.014e+02,2.094e+03,2.670e+03
157.5,1.341e+02,3.544e+02,1.900e+03,2.388e+03
159.1,1.550e+02,3.769e+02,1.489e+03,2.021e+03
160.7,1.995e+02,4.290e+02,1.176e+03,1.805e+03
162.2,2.348e+02,4.969e+02,1.141e+03,1.873e+03
163.8,2.651e+02,5.225e+02,1.081e+03,1.869e+03
165.3,2.906e+02,5.083e+02,9.108e+02,1.710e+03
166.9,2.841e+02,5.141e+02,8.631e+02,1.661e+03
168.5,2.853e+02,4.740e+02,8.264e+02,1.586e+03
170.0,2.219e+02,3.867e+02,9.408e+02,1.549e+03
171.6,2.728e+02,4.175e+02,8.720e+02,1.562e+03
173.1,3.510e+02,5.733e+02,8.032e+02,1.727e+03
174.7,4.325e+02,7.970e+02,9.799e+02,2.209e+03
176.3,4.457e+02,9.026e+02,1.160e+03,2.508e+03
177.8,4.642e+02,9.417e+02,1.271e+03,2.676e+03
179.4,4.920e+02,9.520e+02,1.377e+03,2.821e+03
180.9,4.992e+02,9.560e+02,1.387e+03,2.842e+03
182.5,4.406e+02,9.281e+02,1.305e+03,2.673e+03
184.1,4.119e+02,9.096e+02,1.293e+03,2.614e+03
185.6,3.824e+02,9.013e+02,1.245e+03,2.529e+03
187.2,3.272e+02,8.978e+02,1.114e+03,2.339e+03
188.7,3.209e+02,8.860e+02,9.797e+02,2.187e+03
190.3,3.126e+02,8.802e+02,9.195e+02,2.112e+03
191.9,2.879e+02,8.635e+02,8.771e+02,2.029e+03
193.4,2.773e+02,8.488e+02,7.865e+02,1.913e+03
195.0,2.665e+02,8.509e+02,6.701e+02,1.788e+03
196.5,2.197e+02,8.710e+02,5.860e+02,1.677e+03
198.1,1.870e+02,8.819e+02,4.979e+02,1.567e+03
199.7,1.719e+02,8.910e+02,4.518e+02,1.515e+03
