freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.092e+02,6.737e+01,2.954e+01,7.061e+02
1.5,5.112e+02,3.621e+02,7.608e+01,9.494e+02
3.0,3.424e+02,3.019e+02,8.654e+01,7.308e+02
4.5,5.558e+02,2.364e+02,8.603e+01,8.782e+02
6.0,1.388e+03,2.385e+02,8.646e+01,1.713e+03
7.6,2.156e+03,2.231e+02,8.416e+01,2.463e+03
9.1,3.007e+03,2.457e+02,8.800e+01,3.341e+03
10.6,3.992e+03,3.011e+02,8.680e+01,4.380e+03
12.1,5.093e+03,3.007e+02,8.772e+01,5.481e+03
13.6,6.424e+03,2.997e+02,8.984e+01,6.814e+03
15.1,8.102e+03,3.003e+02,8.921e+01,8.492e+03
16.6,1.032e+04,3.532e+02,1.065e+02,1.078e+04
18.1,1.280e+04,6.006e+02,1.601e+02,1.356e+04
19.6,1.435e+04,1.100e+03,3.050e+02,1.575e+04
21.1,1.495e+04,1.345e+03,3.661e+02,1.666e+04
22.7,1.736e+04,1.275e+03,3.410e+02,1.897e+04
24.2,2.153e+04,1.337e+03,3.575e+02,2.323e+04
25.7,2.686e+04,1.450e+03,4.023e+02,2.871e+04
27.2,3.171e+04,1.610e+03,5.089e+02,3.383e+04
28.7,3.068e+04,1.808e+03,5.793e+02,3.307e+04
30.2,2.210e+04,1.482e+03,4.579e+02,2.404e+04
31.7,1.709e+04,1.041e+03,2.960e+02,1.842e+04
33.2,1.774e+04,7.991e+02,2.044e+02,1.875e+04
34.7,2.114e+04,6.721e+02,1.507e+02,2.196e+04
36.2,2.535e+04,5.809e+02,1.371e+02,2.607e+04
37.8,2.972e+04,5.341e+02,1.613e+02,3.042e+04
39.3,3.379e+04,6.099e+02,1.842e+02,3.459e+04
40.8,3.714e+04,7.411e+02,2.052e+02,3.808e+04
42.3,3.582e+04,6.887e+02,2.106e+02,3.672e+04
43.8,3.180e+04,6.215e+02,2.237e+02,3.264e+04
45.3,3.206e+04,6.050e+02,4.011e+02,3.307e+04
46.8,3.598e+04,6.709e+02,1.580e+03,3.823e+04
48.3,4.013e+04,7.243e+02,4.315e+03,4.517e+04
49.8,4.328e+04,6.362e+02,5.533e+03,4.945e+04
51.3,4.749e+04,5.974e+02,5.331e+03,5.342e+04
52.9,5.292e+04,6.268e+02,5.297e+03,5.885e+04
54.4,5.905e+04,6.264e+02,5.343e+03,6.502e+04
55.9,6.586e+04,5.633e+02,5.793e+03,7.222e+04
57.4,7.336e+04,4.351e+02,7.289e+03,8.108e+04
58.9,8.439e+04,3.819e+02,1.099e+04,9.576e+04
60.4,9.744e+04,4.193e+02,1.806e+04,1.159e+05
61.9,1.077e+05,4.718e+02,3.005e+04,1.383e+05
63.4,1.117e+05,5.456e+02,4.482e+04,1.571e+05
64.9,1.173e+05,5.271e+02,6.909e+04,1.870e+05
66.4,1.346e+05,6.651e+02,9.125e+04,2.265e+05
68.0,1.397e+05,7.264e+02,7.180e+04,2.122e+05
69.5,1.451e+05,6.685e+02,4.173e+04,1.875e+05
71.0,1.604e+05,5.576e+02,2.449e+04,1.855e+05
72.5,1.848e+05,5.580e+02,1.513e+04,2.005e+05
74.0,2.175e+05,5.759e+02,1.039e+04,2.285e+05
75.5,2.562e+05,6.670e+02,7.909e+03,2.648e+05
77.0,3.004e+05,8.586e+02,7.073e+03,3.083e+05
78.5,3.449e+05,1.059e+03,7.363e+03,3.533e+05
80.0,3.842e+05,1.206e+03,8.028e+03,3.934e+05
81.5,4.205e+05,1.309e+03,7.884e+03,4.296e+05
83.1,4.732e+05,1.465e+03,7.286e+03,4.820e+05
84.6,5.332e+05,1.676e+03,7.245e+03,5.421e+05
86.1,6.007e+05,1.794e+03,6.598e+03,6.091e+05
87.6,6.939e+05,2.232e+03,5.858e+03,7.020e+05
89.1,8.016e+05,3.327e+03,5.340e+03,8.102e+05
90.6,9.206e+05,5.348e+03,5.128e+03,9.311e+05
92.1,1.038e+06,8.418e+03,5.521e+03,1.052e+06
93.6,1.121e+06,1.285e+04,6.798e+03,1.140e+06
95.1,1.098e+06,1.808e+04,9.509e+03,1.126e+06
96.7,9.017e+05,2.178e+04,1.186e+04,9.353e+05
98.2,6.749e+05,2.067e+04,1.101e+04,7.066e+05
99.7,5.388e+05,1.785e+04,9.477e+03,5.661e+05
101.2,4.882e+05,1.532e+04,8.562e+03,5.121e+05
102.7,5.073e+05,1.348e+04,8.469e+03,5.293e+05
104.2,5.300e+05,1.154e+04,8.325e+03,5.498e+05
105.7,5.637e+05,9.568e+03,8.357e+03,5.816e+05
107.2,7.436e+05,9.039e+03,1.028e+04,7.629e+05
