freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.646e+01,4.262e+02,2.604e+02,7.031e+02
1.5,3.198e+01,2.685e+02,1.961e+02,4.965e+02
3.0,3.227e+01,4.627e+01,7.780e+01,1.563e+02
4.5,3.241e+01,3.253e+02,8.233e+01,4.400e+02
6.0,3.227e+01,1.226e+03,8.152e+01,1.340e+03
7.5,3.415e+01,2.127e+03,8.518e+01,2.246e+03
9.1,3.689e+01,3.118e+03,9.794e+01,3.253e+03
10.6,3.911e+01,4.456e+03,9.537e+01,4.590e+03
12.1,4.944e+01,6.314e+03,1.232e+02,6.486e+03
13.6,8.487e+01,8.881e+03,1.824e+02,9.148e+03
15.1,1.869e+02,1.269e+04,3.388e+02,1.322e+04
16.6,5.414e+02,1.740e+04,7.136e+02,1.865e+04
18.1,1.084e+03,1.589e+04,9.713e+02,1.794e+04
19.6,1.127e+03,8.815e+03,7.462e+02,1.069e+04
21.1,8.440e+02,6.653e+03,4.395e+02,7.936e+03
22.6,7.899e+02,8.953e+03,2.457e+02,9.989e+03
24.2,1.162e+03,1.255e+04,1.561e+02,1.387e+04
25.7,2.047e+03,1.617e+04,1.666e+02,1.839e+04
27.2,3.531e+03,1.795e+04,2.618e+02,2.175e+04
28.7,5.199e+03,1.760e+04,3.894e+02,2.319e+04
30.2,5.603e+03,1.703e+04,3.973e+02,2.303e+04
31.7,5.035e+03,1.825e+04,2.727e+02,2.356e+04
33.2,4.612e+03,2.114e+04,1.675e+02,2.592e+04
34.7,4.684e+03,2.522e+04,1.938e+02,3.009e+04
36.2,5.453e+03,2.982e+04,3.696e+02,3.564e+04
37.7,6.461e+03,3.489e+04,7.014e+02,4.206e+04
39.3,6.824e+03,3.807e+04,1.605e+03,4.649e+04
40.8,5.911e+03,3.711e+04,4.193e+03,4.722e+04
42.3,4.021e+03,3.460e+04,1.068e+04,4.930e+04
43.8,2.247e+03,3.360e+04,1.798e+04,5.383e+04
45.3,1.126e+03,3.792e+04,1.900e+04,5.805e+04
46.8,6.168e+02,4.633e+04,1.755e+04,6.450e+04
48.3,3.688e+02,5.312e+04,1.536e+04,6.885e+04
49.8,2.819e+02,5.762e+04,1.226e+04,7.016e+04
51.3,2.713e+02,6.543e+04,9.252e+03,7.495e+04
52.8,2.565e+02,7.765e+04,6.352e+03,8.426e+04
54.3,3.352e+02,9.206e+04,5.253e+03,9.764e+04
55.9,4.799e+02,1.068e+05,1.101e+04,1.183e+05
57.4,6.350e+02,1.171e+05,2.462e+04,1.424e+05
58.9,8.395e+02,1.290e+05,6.544e+04,1.953e+05
60.4,1.034e+03,1.333e+05,1.968e+05,3.312e+05
61.9,1.725e+03,1.361e+05,4.122e+05,5.501e+05
63.4,3.136e+03,1.528e+05,5.208e+05,6.767e+05
64.9,4.357e+03,1.740e+05,5.514e+05,7.298e+05
66.4,4.914e+03,1.884e+05,5.442e+05,7.375e+05
67.9,4.387e+03,1.886e+05,5.215e+05,7.145e+05
69.4,3.961e+03,2.214e+05,5.342e+05,7.596e+05
71.0,4.106e+03,2.987e+05,5.785e+05,8.813e+05
72.5,4.865e+03,4.198e+05,6.405e+05,1.065e+06
