freq,psd_x,psd_y,psd_z,psd_xyz,zv(52.6),mzv(54.2),ei(64.8),2hump_ei(80.6),3hump_ei(96.2)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.995,0.993,0.992,0.991,0.990
3.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.989,0.984,0.982,0.979,0.977
4.4,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.980,0.973,0.970,0.965,0.961
5.9,1.547e+02,2.594e+01,1.809e+02,3.615e+02,0.970,0.960,0.955,0.948,0.942
7.4,1.205e+02,1.992e+01,2.325e+02,3.729e+02,0.958,0.944,0.937,0.928,0.921
8.9,1.051e+02,1.762e+01,2.910e+02,4.137e+02,0.944,0.926,0.918,0.906,0.897
10.4,8.295e+01,1.353e+01,3.424e+02,4.389e+02,0.928,0.907,0.896,0.883,0.872
11.8,7.109e+01,1.344e+01,3.907e+02,4.753e+02,0.911,0.885,0.873,0.857,0.844
13.3,6.263e+01,1.339e+01,4.521e+02,5.281e+02,0.892,0.862,0.847,0.829,0.814
14.8,6.684e+01,1.132e+01,5.236e+02,6.017e+02,0.871,0.837,0.820,0.800,0.783
16.3,6.188e+01,1.141e+01,6.053e+02,6.786e+02,0.849,0.811,0.791,0.769,0.750
17.8,5.625e+01,1.003e+01,7.195e+02,7.858e+02,0.826,0.783,0.761,0.736,0.716
19.2,4.542e+01,9.877e+00,8.540e+02,9.093e+02,0.801,0.753,0.729,0.703,0.681
20.7,4.228e+01,1.036e+01,9.841e+02,1.037e+03,0.774,0.723,0.697,0.669,0.645
22.2,3.522e+01,9.280e+00,9.019e+02,9.464e+02,0.747,0.691,0.663,0.634,0.609
23.7,3.335e+01,7.128e+00,8.402e+02,8.807e+02,0.718,0.658,0.629,0.598,0.572
25.2,3.642e+01,7.400e+00,9.777e+02,1.022e+03,0.688,0.625,0.594,0.562,0.535
26.6,3.365e+01,1.102e+01,1.118e+03,1.163e+03,0.656,0.591,0.558,0.526,0.499
28.1,3.371e+01,1.388e+01,1.267e+03,1.315e+03,0.624,0.556,0.523,0.490,0.462
29.6,2.896e+01,1.423e+01,1.477e+03,1.520e+03,0.591,0.521,0.487,0.454,0.426
31.1,2.774e+01,1.593e+01,1.763e+03,1.806e+03,0.556,0.486,0.451,0.419,0.390
32.6,2.807e+01,1.931e+01,2.057e+03,2.104e+03,0.521,0.450,0.416,0.384,0.356
34.0,3.035e+01,2.591e+01,2.195e+03,2.251e+03,0.486,0.415,0.380,0.350,0.322
35.5,3.115e+01,3.509e+01,2.386e+03,2.452e+03,0.449,0.380,0.346,0.316,0.290
37.0,2.645e+01,4.278e+01,2.874e+03,2.944e+03,0.412,0.345,0.312,0.284,0.259
38.5,2.258e+01,5.572e+01,3.570e+03,3.648e+03,0.374,0.310,0.279,0.253,0.229
40.0,2.164e+01,7.521e+01,4.484e+03,4.580e+03,0.336,0.277,0.248,0.224,0.201
41.4,2.236e+01,9.047e+01,5.559e+03,5.672e+03,0.298,0.243,0.217,0.196,0.175
42.9,2.414e+01,1.515e+02,6.734e+03,6.909e+03,0.259,0.211,0.188,0.169,0.150
44.4,3.678e+01,3.233e+02,8.619e+03,8.979e+03,0.220,0.180,0.160,0.144,0.127
45.9,9.797e+01,6.957e+02,1.180e+04,1.260e+04,0.182,0.149,0.134,0.121,0.107
47.4,3.898e+02,1.567e+03,1.718e+04,1.914e+04,0.143,0.120,0.109,0.100,0.089
48.8,8.715e+02,2.084e+03,2.662e+04,2.958e+04,0.108,0.093,0.087,0.081,0.073
50.3,1.058e+03,1.629e+03,4.557e+04,4.826e+04,0.082,0.067,0.066,0.064,0.060
51.8,1.507e+03,1.497e+03,6.374e+04,6.674e+04,0.065,0.048,0.048,0.050,0.049
53.3,1.672e+03,9.974e+02,5.669e+04,5.936e+04,0.064,0.037,0.033,0.039,0.042
54.8,1.224e+03,4.051e+02,3.929e+04,4.092e+04,0.080,0.035,0.023,0.031,0.038
56.2,6.878e+02,1.948e+02,2.579e+04,2.667e+04,0.105,0.041,0.020,0.028,0.037
57.7,3.522e+02,1.873e+02,1.732e+04,1.786e+04,0.137,0.051,0.023,0.028,0.037
59.2,2.127e+02,2.320e+02,1.319e+04,1.363e+04,0.174,0.067,0.029,0.030,0.038
60.7,1.601e+02,3.020e+02,1.200e+04,1.246e+04,0.210,0.082,0.034,0.033,0.039
62.2,1.364e+02,3.742e+02,1.198e+04,1.249e+04,0.246,0.095,0.038,0.036,0.040
63.6,1.151e+02,3.951e+02,1.141e+04,1.192e+04,0.281,0.106,0.040,0.038,0.040
65.1,1.098e+02,3.552e+02,1.078e+04,1.124e+04,0.315,0.115,0.040,0.038,0.039
66.6,1.345e+02,2.523e+02,1.027e+04,1.066e+04,0.349,0.123,0.038,0.038,0.038
68.1,1.451e+02,1.414e+02,9.254e+03,9.540e+03,0.381,0.128,0.034,0.037,0.036
69.6,1.403e+02,7.860e+01,7.967e+03,8.186e+03,0.413,0.132,0.031,0.035,0.033
71.0,1.391e+02,5.692e+01,7.133e+03,7.329e+03,0.444,0.133,0.029,0.032,0.030
72.5,1.184e+02,4.543e+01,6.052e+03,6.216e+03,0.473,0.133,0.028,0.028,0.026
74.0,9.132e+01,3.833e+01,4.936e+03,5.066e+03,0.502,0.131,0.029,0.024,0.023
75.5,7.167e+01,3.178e+01,3.981e+03,4.084e+03,0.529,0.127,0.033,0.020,0.019
77.0,5.333e+01,2.656e+01,3.180e+03,3.260e+03,0.556,0.121,0.040,0.015,0.015
78.4,4.543e+01,2.521e+01,2.548e+03,2.619e+03,0.580,0.114,0.050,0.012,0.013
79.9,3.774e+01,2.333e+01,2.010e+03,2.071e+03,0.604,0.105,0.064,0.011,0.012
81.4,3.266e+01,2.207e+01,1.590e+03,1.645e+03,0.626,0.097,0.083,0.011,0.012
82.9,3.534e+01,3.287e+01,1.301e+03,1.369e+03,0.647,0.092,0.103,0.012,0.014
84.4,3.773e+01,5.146e+01,1.084e+03,1.173e+03,0.667,0.087,0.124,0.015,0.017
85.8,4.643e+01,7.991e+01,9.325e+02,1.059e+03,0.685,0.084,0.145,0.019,0.020
87.3,6.428e+01,1.261e+02,8.822e+02,1.073e+03,0.701,0.081,0.168,0.023,0.022
88.8,7.167e+01,1.557e+02,9.074e+02,1.135e+03,0.717,0.080,0.191,0.026,0.025
90.3,6.253e+01,1.516e+02,1.055e+03,1.269e+03,0.730,0.082,0.215,0.029,0.027
91.8,5.744e+01,1.559e+02,1.458e+03,1.671e+03,0.742,0.086,0.239,0.031,0.028
93.2,5.504e+01,1.645e+02,1.729e+03,1.949e+03,0.753,0.093,0.263,0.032,0.029
94.7,4.376e+01,1.605e+02,1.692e+03,1.896e+03,0.762,0.102,0.288,0.032,0.030
96.2,3.544e+01,1.549e+02,1.586e+03,1.776e+03,0.770,0.113,0.312,0.031,0.030
97.7,2.929e+01,1.366e+02,1.374e+03,1.540e+03,0.775,0.126,0.336,0.029,0.029
99.2,3.136e+01,1.395e+02,1.366e+03,1.537e+03,0.780,0.139,0.360,0.027,0.028
100.6,3.445e+01,1.251e+02,1.313e+03,1.472e+03,0.783,0.163,0.383,0.027,0.026
102.1,4.246e+01,1.302e+02,1.397e+03,1.570e+03,0.784,0.188,0.406,0.027,0.024
103.6,6.094e+01,1.708e+02,1.580e+03,1.812e+03,0.784,0.213,0.428,0.028,0.022
105.1,7.760e+01,2.321e+02,1.755e+03,2.065e+03,0.782,0.238,0.450,0.029,0.019
106.6,9.032e+01,2.962e+02,1.856e+03,2.243e+03,0.779,0.263,0.470,0.031,0.015
108.0,9.349e+01,3.229e+02,1.808e+03,2.225e+03,0.774,0.288,0.489,0.035,0.014
109.5,8.791e+01,3.280e+02,1.718e+03,2.134e+03,0.768,0.312,0.507,0.040,0.013
111.0,8.786e+01,3.509e+02,1.735e+03,2.173e+03,0.760,0.337,0.524,0.045,0.012
112.5,8.917e+01,3.832e+02,1.751e+03,2.223e+03,0.751,0.361,0.540,0.055,0.012
114.0,9.360e+01,4.469e+02,1.785e+03,2.326e+03,0.741,0.384,0.555,0.069,0.012
115.4,9.581e+01,5.033e+02,1.845e+03,2.444e+03,0.729,0.407,0.567,0.084,0.013
116.9,9.811e+01,5.425e+02,1.848e+03,2.488e+03,0.716,0.429,0.579,0.101,0.014
118.4,1.095e+02,6.512e+02,1.896e+03,2.657e+03,0.701,0.450,0.589,0.117,0.015
119.9,1.286e+02,8.163e+02,2.069e+03,3.014e+03,0.686,0.470,0.597,0.135,0.018
121.4,1.411e+02,9.895e+02,2.214e+03,3.345e+03,0.669,0.490,0.604,0.153,0.021
122.8,1.406e+02,1.100e+03,2.217e+03,3.457e+03,0.651,0.508,0.609,0.171,0.023
124.3,1.521e+02,1.205e+03,2.121e+03,3.477e+03,0.632,0.525,0.612,0.190,0.024
125.8,1.422e+02,1.297e+03,1.900e+03,3.339e+03,0.611,0.541,0.614,0.209,0.025
127.3,1.604e+02,1.343e+03,1.782e+03,3.285e+03,0.590,0.556,0.614,0.228,0.025
128.8,2.466e+02,1.450e+03,2.151e+03,3.848e+03,0.568,0.569,0.612,0.247,0.024
130.2,3.592e+02,1.256e+03,2.647e+03,4.263e+03,0.545,0.581,0.609,0.266,0.023
131.7,4.605e+02,9.535e+02,3.023e+03,4.437e+03,0.521,0.592,0.604,0.285,0.024
133.2,2.968e+02,4.571e+02,1.850e+03,2.604e+03,0.497,0.601,0.598,0.303,0.024
134.7,5.655e+01,7.413e+01,3.054e+02,4.361e+02,0.472,0.609,0.590,0.321,0.025
136.2,3.881e+01,3.372e+01,1.759e+02,2.485e+02,0.446,0.615,0.581,0.339,0.026
137.6,4.192e+01,2.873e+01,1.934e+02,2.640e+02,0.420,0.620,0.570,0.356,0.028
139.1,4.440e+01,2.593e+01,2.158e+02,2.861e+02,0.393,0.623,0.558,0.372,0.030
140.6,4.712e+01,2.514e+01,2.367e+02,3.090e+02,0.374,0.625,0.544,0.387,0.032
142.1,5.295e+01,2.766e+01,2.677e+02,3.483e+02,0.360,0.626,0.529,0.401,0.035
143.6,6.315e+01,3.346e+01,3.130e+02,4.097e+02,0.347,0.624,0.514,0.415,0.039
145.0,7.390e+01,4.016e+01,3.584e+02,4.725e+02,0.335,0.622,0.497,0.427,0.043
146.5,8.379e+01,4.773e+01,4.091e+02,5.406e+02,0.323,0.618,0.479,0.438,0.054
148.0,9.519e+01,5.399e+01,4.708e+02,6.200e+02,0.313,0.612,0.461,0.448,0.066
149.5,1.132e+02,6.140e+01,5.641e+02,7.387e+02,0.304,0.605,0.441,0.456,0.079
151.0,1.561e+02,7.542e+01,7.125e+02,9.441e+02,0.297,0.597,0.421,0.464,0.092
152.4,1.829e+02,8.515e+01,8.754e+02,1.143e+03,0.291,0.587,0.401,0.470,0.106
153.9,1.949e+02,8.472e+01,8.849e+02,1.165e+03,0.286,0.576,0.380,0.474,0.121
155.4,1.579e+02,7.276e+01,6.667e+02,8.974e+02,0.283,0.564,0.359,0.477,0.135
156.9,9.649e+01,5.338e+01,4.171e+02,5.670e+02,0.282,0.551,0.337,0.479,0.150
158.4,6.181e+01,3.722e+01,2.591e+02,3.581e+02,0.283,0.537,0.316,0.479,0.166
159.8,4.691e+01,2.518e+01,1.755e+02,2.476e+02,0.285,0.521,0.294,0.478,0.181
161.3,3.499e+01,1.756e+01,1.306e+02,1.831e+02,0.289,0.505,0.273,0.475,0.196
162.8,2.651e+01,1.390e+01,1.042e+02,1.446e+02,0.294,0.488,0.252,0.471,0.211
164.3,2.228e+01,1.233e+01,9.077e+01,1.254e+02,0.300,0.470,0.231,0.466,0.226
165.8,2.009e+01,1.186e+01,8.565e+01,1.176e+02,0.307,0.452,0.211,0.459,0.241
167.2,1.781e+01,1.142e+01,7.373e+01,1.030e+02,0.315,0.433,0.191,0.452,0.255
168.7,1.679e+01,1.004e+01,6.220e+01,8.903e+01,0.324,0.413,0.172,0.443,0.269
170.2,1.598e+01,9.004e+00,5.020e+01,7.518e+01,0.334,0.393,0.160,0.433,0.283
171.7,1.442e+01,8.397e+00,4.264e+01,6.545e+01,0.343,0.373,0.151,0.421,0.295
173.2,1.338e+01,7.295e+00,3.628e+01,5.696e+01,0.354,0.352,0.143,0.409,0.307
174.6,1.110e+01,6.144e+00,2.919e+01,4.643e+01,0.364,0.331,0.136,0.396,0.318
176.1,9.634e+00,4.978e+00,2.160e+01,3.621e+01,0.387,0.311,0.129,0.382,0.328
177.6,9.774e+00,4.491e+00,1.723e+01,3.150e+01,0.409,0.290,0.123,0.368,0.337
179.1,8.904e+00,3.944e+00,1.409e+01,2.693e+01,0.430,0.270,0.118,0.353,0.346
180.6,8.257e+00,3.491e+00,1.252e+01,2.427e+01,0.451,0.250,0.113,0.337,0.353
182.0,7.604e+00,3.536e+00,1.188e+01,2.302e+01,0.471,0.230,0.108,0.321,0.359
183.5,7.785e+00,3.695e+00,1.355e+01,2.503e+01,0.489,0.220,0.105,0.304,0.364
185.0,7.866e+00,3.933e+00,1.680e+01,2.860e+01,0.507,0.211,0.102,0.287,0.368
186.5,8.999e+00,4.557e+00,1.924e+01,3.280e+01,0.524,0.204,0.100,0.270,0.370
188.0,8.542e+00,4.433e+00,2.008e+01,3.305e+01,0.541,0.196,0.098,0.253,0.372
189.4,7.110e+00,4.174e+00,2.053e+01,3.181e+01,0.555,0.190,0.096,0.236,0.372
190.9,8.254e+00,4.340e+00,2.379e+01,3.638e+01,0.569,0.183,0.096,0.219,0.371
192.4,7.634e+00,4.090e+00,1.908e+01,3.081e+01,0.582,0.178,0.095,0.203,0.369
193.9,7.425e+00,4.999e+00,1.499e+01,2.741e+01,0.594,0.173,0.095,0.186,0.365
195.4,8.260e+00,4.657e+00,1.704e+01,2.996e+01,0.605,0.168,0.096,0.171,0.361
196.8,8.389e+00,4.565e+00,1.715e+01,3.010e+01,0.614,0.165,0.097,0.155,0.355
198.3,9.537e+00,4.684e+00,1.700e+01,3.122e+01,0.622,0.161,0.098,0.140,0.349
199.8,8.587e+00,5.397e+00,1.612e+01,3.011e+01,0.629,0.159,0.100,0.126,0.341
