freq,psd_x,psd_y,psd_z,psd_xyz,zv(44.0),mzv(43.4),ei(51.8),2hump_ei(64.4),3hump_ei(77.0)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.994,0.991,0.990,0.988,0.987
3.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.985,0.979,0.976,0.972,0.969
4.4,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.974,0.963,0.959,0.952,0.947
5.9,9.462e+01,1.805e+02,2.188e+01,2.970e+02,0.960,0.944,0.937,0.928,0.921
7.4,9.104e+01,2.263e+02,1.364e+01,3.310e+02,0.944,0.922,0.913,0.901,0.891
8.9,5.693e+01,2.923e+02,1.094e+01,3.602e+02,0.925,0.897,0.885,0.870,0.858
10.4,5.251e+01,3.521e+02,1.011e+01,4.148e+02,0.904,0.868,0.854,0.836,0.822
11.8,6.479e+01,4.139e+02,8.473e+00,4.872e+02,0.881,0.837,0.820,0.799,0.783
13.3,6.691e+01,4.966e+02,7.218e+00,5.708e+02,0.855,0.804,0.784,0.760,0.742
14.8,5.702e+01,6.101e+02,6.123e+00,6.733e+02,0.827,0.769,0.745,0.719,0.699
16.3,4.317e+01,7.273e+02,5.999e+00,7.765e+02,0.797,0.731,0.705,0.677,0.655
17.8,3.051e+01,8.730e+02,5.004e+00,9.085e+02,0.765,0.692,0.663,0.633,0.610
19.2,3.103e+01,1.063e+03,5.030e+00,1.099e+03,0.731,0.651,0.620,0.589,0.564
20.7,2.648e+01,1.250e+03,9.544e+00,1.286e+03,0.696,0.609,0.576,0.543,0.518
22.2,2.681e+01,1.424e+03,2.194e+01,1.473e+03,0.659,0.566,0.531,0.498,0.472
23.7,3.196e+01,1.753e+03,2.099e+01,1.806e+03,0.620,0.522,0.487,0.453,0.427
25.1,3.725e+01,2.290e+03,1.404e+01,2.341e+03,0.580,0.478,0.442,0.409,0.382
26.6,4.021e+01,2.785e+03,1.088e+01,2.836e+03,0.539,0.434,0.398,0.366,0.340
28.1,3.492e+01,2.326e+03,7.594e+00,2.369e+03,0.496,0.390,0.354,0.324,0.298
29.6,3.466e+01,1.594e+03,3.939e+00,1.633e+03,0.453,0.346,0.312,0.284,0.259
31.1,4.249e+01,1.837e+03,3.528e+00,1.884e+03,0.408,0.303,0.271,0.245,0.222
32.5,5.196e+01,2.670e+03,5.783e+00,2.728e+03,0.363,0.261,0.232,0.209,0.188
34.0,8.016e+01,4.057e+03,7.941e+00,4.145e+03,0.318,0.220,0.195,0.175,0.157
35.5,1.805e+02,6.689e+03,6.075e+00,6.875e+03,0.272,0.181,0.160,0.144,0.128
37.0,4.163e+02,1.079e+04,4.331e+00,1.121e+04,0.225,0.143,0.127,0.115,0.103
38.5,1.135e+03,1.937e+04,3.843e+00,2.051e+04,0.179,0.107,0.098,0.090,0.081
39.9,4.753e+03,4.193e+04,8.200e+00,4.669e+04,0.133,0.074,0.071,0.068,0.063
41.4,1.127e+04,5.904e+04,2.312e+01,7.033e+04,0.095,0.049,0.048,0.050,0.050
42.9,1.357e+04,4.966e+04,3.077e+01,6.326e+04,0.069,0.036,0.030,0.036,0.041
44.4,1.330e+04,3.453e+04,3.254e+01,4.786e+04,0.063,0.037,0.020,0.029,0.037
45.9,1.362e+04,2.387e+04,4.111e+01,3.753e+04,0.081,0.048,0.022,0.028,0.037
47.3,1.621e+04,1.688e+04,6.823e+01,3.316e+04,0.111,0.066,0.029,0.030,0.038
48.8,1.921e+04,1.128e+04,1.390e+02,3.062e+04,0.153,0.084,0.035,0.034,0.039
50.3,1.744e+04,6.726e+03,2.411e+02,2.441e+04,0.196,0.100,0.039,0.037,0.040
51.8,1.261e+04,4.048e+03,3.387e+02,1.700e+04,0.239,0.112,0.040,0.038,0.039
53.3,8.226e+03,3.024e+03,3.367e+02,1.159e+04,0.281,0.122,0.038,0.038,0.038
54.7,5.307e+03,2.789e+03,2.023e+02,8.298e+03,0.322,0.129,0.032,0.036,0.035
56.2,3.788e+03,2.423e+03,9.837e+01,6.310e+03,0.362,0.133,0.030,0.033,0.032
57.7,3.005e+03,1.901e+03,6.053e+01,4.966e+03,0.400,0.133,0.028,0.029,0.027
59.2,2.399e+03,1.500e+03,3.192e+01,3.931e+03,0.438,0.131,0.029,0.024,0.023
60.6,1.837e+03,1.252e+03,1.363e+01,3.103e+03,0.473,0.126,0.035,0.019,0.018
62.1,1.408e+03,1.118e+03,1.009e+01,2.536e+03,0.507,0.118,0.045,0.013,0.014
63.6,1.084e+03,1.018e+03,1.392e+01,2.116e+03,0.539,0.108,0.060,0.011,0.012
65.1,8.524e+02,8.997e+02,2.603e+01,1.778e+03,0.570,0.097,0.083,0.011,0.012
