freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.607e+01,4.136e+01,7.529e+02,8.903e+02
1.5,3.962e+02,8.195e+01,4.441e+02,9.222e+02
3.0,4.245e+02,7.758e+01,5.196e+01,5.540e+02
4.4,4.393e+02,8.994e+01,2.863e+02,8.155e+02
5.9,4.257e+02,8.968e+01,1.045e+03,1.560e+03
7.4,4.305e+02,7.931e+01,1.736e+03,2.246e+03
8.9,4.525e+02,9.262e+01,2.550e+03,3.095e+03
10.4,4.798e+02,9.971e+01,3.561e+03,4.140e+03
11.8,4.291e+02,9.194e+01,4.675e+03,5.196e+03
13.3,4.102e+02,9.232e+01,6.076e+03,6.579e+03
14.8,4.106e+02,1.046e+02,7.772e+03,8.287e+03
16.3,4.497e+02,1.049e+02,9.989e+03,1.054e+04
17.8,4.092e+02,1.138e+02,1.293e+04,1.346e+04
19.2,4.122e+02,1.259e+02,1.662e+04,1.716e+04
20.7,3.939e+02,1.679e+02,2.064e+04,2.120e+04
22.2,3.672e+02,1.695e+02,2.006e+04,2.060e+04
23.7,3.744e+02,1.054e+02,2.011e+04,2.059e+04
25.2,4.417e+02,1.254e+02,2.501e+04,2.558e+04
26.6,4.383e+02,2.656e+02,3.043e+04,3.113e+04
28.1,4.838e+02,3.899e+02,3.644e+04,3.731e+04
29.6,5.082e+02,4.566e+02,4.469e+04,4.566e+04
31.1,4.122e+02,5.103e+02,5.567e+04,5.660e+04
32.6,4.334e+02,6.670e+02,6.824e+04,6.934e+04
34.0,4.193e+02,1.037e+03,7.621e+04,7.766e+04
35.5,4.240e+02,1.439e+03,8.671e+04,8.857e+04
37.0,4.222e+02,1.862e+03,1.086e+05,1.109e+05
38.5,3.940e+02,2.652e+03,1.409e+05,1.440e+05
40.0,4.470e+02,3.673e+03,1.840e+05,1.881e+05
41.4,4.789e+02,4.556e+03,2.362e+05,2.413e+05
42.9,5.443e+02,8.429e+03,2.963e+05,3.053e+05
44.4,1.274e+03,1.827e+04,3.968e+05,4.164e+05
45.9,5.050e+03,4.071e+04,5.672e+05,6.129e+05
47.4,1.945e+04,7.926e+04,8.518e+05,9.506e+05
