freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.351e+02,6.864e+02,3.178e+01,1.153e+03
1.5,1.029e+03,6.368e+02,1.306e+02,1.796e+03
3.0,1.203e+03,2.421e+02,1.604e+02,1.606e+03
4.4,9.611e+02,4.504e+02,1.524e+02,1.564e+03
5.9,9.219e+02,1.106e+03,1.398e+02,2.168e+03
7.4,9.909e+02,1.760e+03,1.181e+02,2.869e+03
8.9,8.297e+02,2.662e+03,1.101e+02,3.602e+03
10.4,7.587e+02,3.729e+03,1.313e+02,4.619e+03
11.8,9.914e+02,4.910e+03,1.525e+02,6.054e+03
13.3,1.134e+03,6.714e+03,1.571e+02,8.005e+03
14.8,8.647e+02,9.167e+03,1.326e+02,1.016e+04
16.3,7.286e+02,1.192e+04,1.281e+02,1.278e+04
17.8,7.854e+02,1.562e+04,1.130e+02,1.652e+04
19.2,7.314e+02,2.037e+04,9.723e+01,2.120e+04
20.7,7.420e+02,2.587e+04,1.879e+02,2.680e+04
22.2,6.721e+02,3.192e+04,4.537e+02,3.304e+04
23.7,7.669e+02,4.245e+04,4.590e+02,4.367e+04
25.2,1.034e+03,5.937e+04,3.633e+02,6.077e+04
26.6,1.501e+03,7.724e+04,3.559e+02,7.910e+04
28.1,1.425e+03,6.823e+04,2.955e+02,6.995e+04
29.6,1.170e+03,5.060e+04,1.673e+02,5.194e+04
31.1,1.202e+03,6.207e+04,1.301e+02,6.340e+04
32.6,1.898e+03,9.501e+04,2.251e+02,9.714e+04
34.0,2.896e+03,1.511e+05,3.101e+02,1.543e+05
35.5,7.073e+03,2.581e+05,2.108e+02,2.654e+05
37.0,1.591e+04,4.345e+05,1.252e+02,4.505e+05
38.5,5.992e+04,8.942e+05,1.412e+02,9.542e+05
40.0,2.755e+05,2.003e+06,4.212e+02,2.279e+06
41.4,5.755e+05,2.574e+06,8.344e+02,3.151e+06
42.9,6.612e+05,2.128e+06,1.016e+03,2.791e+06
44.4,6.812e+05,1.546e+06,1.220e+03,2.229e+06
45.9,7.359e+05,1.117e+06,1.612e+03,1.854e+06
47.4,8.783e+05,8.047e+05,3.464e+03,1.686e+06
48.8,9.622e+05,5.377e+05,7.329e+03,1.507e+06
50.3,8.421e+05,3.341e+05,1.157e+04,1.188e+06
51.8,6.256e+05,2.108e+05,1.583e+04,8.522e+05
53.3,4.237e+05,1.647e+05,1.600e+04,6.044e+05
54.8,2.833e+05,1.554e+05,9.958e+03,4.487e+05
56.2,2.086e+05,1.398e+05,5.333e+03,3.537e+05
57.7,1.735e+05,1.134e+05,2.518e+03,2.895e+05
59.2,1.469e+05,9.260e+04,7.784e+02,2.403e+05
60.7,1.223e+05,8.027e+04,6.947e+02,2.032e+05
62.2,1.005e+05,7.218e+04,1.831e+03,1.745e+05
63.6,8.337e+04,6.474e+04,3.766e+03,1.519e+05
65.1,6.885e+04,5.634e+04,6.197e+03,1.314e+05
66.6,5.569e+04,4.794e+04,7.893e+03,1.115e+05
68.1,4.459e+04,4.407e+04,8.785e+03,9.744e+04
69.6,3.609e+04,4.400e+04,9.484e+03,8.958e+04
71.0,3.054e+04,4.478e+04,1.041e+04,8.573e+04
72.5,2.659e+04,4.441e+04,1.029e+04,8.129e+04
74.0,2.384e+04,4.301e+04,1.040e+04,7.724e+04
75.5,2.216e+04,4.153e+04,1.094e+04,7.464e+04
77.0,2.122e+04,4.084e+04,1.133e+04,7.339e+04
78.4,2.110e+04,4.204e+04,1.134e+04,7.448e+04
79.9,2.094e+04,4.396e+04,1.076e+04,7.565e+04
81.4,2.090e+04,4.686e+04,1.086e+04,7.862e+04
82.9,2.100e+04,5.147e+04,1.187e+04,8.434e+04
84.4,2.048e+04,5.583e+04,9.706e+03,8.602e+04
85.8,2.025e+04,6.125e+04,6.442e+03,8.795e+04
87.3,1.882e+04,6.821e+04,4.243e+03,9.127e+04
88.8,1.598e+04,7.109e+04,3.069e+03,9.014e+04
90.3,1.105e+04,6.496e+04,3.049e+03,7.906e+04
91.8,6.448e+03,4.810e+04,3.453e+03,5.800e+04
93.2,3.268e+03,3.159e+04,4.339e+03,3.919e+04
94.7,1.703e+03,1.837e+04,3.681e+03,2.376e+04
96.2,1.228e+03,9.384e+03,2.881e+03,1.349e+04
97.7,1.266e+03,6.373e+03,4.369e+03,1.201e+04
99.2,1.510e+03,3.877e+03,5.232e+03,1.062e+04
100.6,1.797e+03,2.289e+03,4.854e+03,8.940e+03
102.1,1.727e+03,1.983e+03,5.913e+03,9.623e+03
103.6,1.773e+03,2.002e+03,9.585e+03,1.336e+04
